arraySize,Milliseconds
50000,16.43996301293373
100000,32.208771988749504
150000,48.92788600921631
200000,65.03178200125694
250000,82.49559399485588
300000,97.29587499797344
350000,114.65191200375557
400000,132.7929109930992
450000,150.31122800707817
500000,168.24292999505997
550000,181.98893800377846
600000,198.7880430072546
650000,216.0423400104046
700000,233.4162099957466
750000,250.73674999177456
800000,268.65147399902344
850000,290.1467799991369
900000,303.96156500279903
950000,322.1994690001011
1000000,340.5716280043125
